IdContatore;Edificio;Data;Valore;Stato
2001;Scuola Primaria Dante Alighieri;2025-01-01;156,3;OK
2002;Scuola Primaria Dante Alighieri;2025-01-01;99,8;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-01;308,6;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-01;125,0;OK
2005;Biblioteca Civica;2025-01-01;132,0;OK
2006;Asilo Nido Girotondo;2025-01-01;80,8;OK
2007;Asilo Nido Girotondo;2025-01-01;68,1;OK
2008;Piscina Comunale;2025-01-01;1.282,4;OK
2009;Piscina Comunale;2025-01-01;321,6;OK
2010;Centro Sportivo Città di Lodi;2025-01-01;273,7;OK
2001;Scuola Primaria Dante Alighieri;2025-01-02;184,7;OK
2002;Scuola Primaria Dante Alighieri;2025-01-02;88,5;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-02;297,5;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-02;150,9;STIMA
2005;Biblioteca Civica;2025-01-02;133,7;ERR
2006;Asilo Nido Girotondo;2025-01-02;83,3;OK
2007;Asilo Nido Girotondo;2025-01-02;55,3;OK
2008;Piscina Comunale;2025-01-02;1.313,7;OK
2009;Piscina Comunale;2025-01-02;326,9;OK
2010;Centro Sportivo Città di Lodi;2025-01-02;260,8;OK
2001;Scuola Primaria Dante Alighieri;2025-01-03;163,9;OK
2002;Scuola Primaria Dante Alighieri;2025-01-03;93,7;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-03;324,6;STIMA
2004;Palazzo Comunale – Piazza Libertà;2025-01-03;138,4;OK
2005;Biblioteca Civica;2025-01-03;124,2;OK
2006;Asilo Nido Girotondo;2025-01-03;79,2;OK
2007;Asilo Nido Girotondo;2025-01-03;60,8;OK
2008;Piscina Comunale;2025-01-03;1.336,1;OK
2009;Piscina Comunale;2025-01-03;297,9;OK
2010;Centro Sportivo Città di Lodi;2025-01-03;253,5;OK
2001;Scuola Primaria Dante Alighieri;2025-01-04;91,1;OK
2002;Scuola Primaria Dante Alighieri;2025-01-04;93,0;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-04;187,5;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-04;156,1;OK
2005;Biblioteca Civica;2025-01-04;75,9;OK
2006;Asilo Nido Girotondo;2025-01-04;41,0;OK
2007;Asilo Nido Girotondo;2025-01-04;54,7;OK
2008;Piscina Comunale;2025-01-04;779,0;ERR
2009;Piscina Comunale;2025-01-04;311,9;OK
2010;Centro Sportivo Città di Lodi;2025-01-04;155,6;OK
2001;Scuola Primaria Dante Alighieri;2025-01-05;88,7;OK
2002;Scuola Primaria Dante Alighieri;2025-01-05;83,6;OK
2003;Palazzo Comunale – Piazza Libertà;2025-01-05;179,8;OK
2004;Palazzo Comunale – Piazza Libertà;2025-01-05;135,7;OK
2005;Biblioteca Civica;2025-01-05;59,8;OK
2006;Asilo Nido Girotondo;2025-01-05;41,0;OK
2007;Asilo Nido Girotondo;2025-01-05;60,0;OK
2008;Piscina Comunale;2025-01-05;786,8;OK
2009;Piscina Comunale;2025-01-05;338,0;OK
2010;Centro Sportivo Città di Lodi;2025-01-05;164,1;OK
